workload,main_median_us,main_min_run_median_us,main_max_run_median_us,main_fuel,main_execution_gas,head_median_us,head_min_run_median_us,head_max_run_median_us,head_fuel,head_execution_gas
scalar-view-depth-0,34.593,32.653,43.339,7479,8,32.593,32.317,35.006,7639,8
scalar-view-depth-2,176.599,173.426,202.932,37089,38,175.272,172.54,179.518,37549,38
storage-view-depth-0,95.509,93.851,117.126,35235,36,94.033,93.476,101.17,35395,36
storage-view-depth-2,226.374,225.807,265.113,65285,66,228.088,225.268,239.452,65745,66
string-output-2k-depth-0,59.159,57.375,61.978,30525,31,57.914,57.603,72.731,30685,31
string-output-2k-depth-2,193.26,191.518,237.052,101195,102,193.927,191.985,212.174,101655,102
string-output-16k-depth-0,216.293,214.313,272.541,184704,185,217.324,216.254,322.73,184864,185
string-output-16k-depth-2,371.405,369.831,454.381,542134,543,375.082,371.656,480.39,542594,543
string-output-128k-depth-0,1473.296,1471.017,1741.427,1417667,1418,1498.19,1490.708,2317.006,1417827,1418
string-output-128k-depth-2,1798.529,1795.389,2163.8,4069155,4070,1822.162,1818.005,2643.767,4069615,4070
storage-write-depth-0,794.138,791.748,1006.01,36706,23,799.675,790.114,816.042,36866,23
storage-write-depth-2,952.892,944.935,1199.667,76922,63,956.568,950.671,977.982,77382,64
mixed-storage-write-depth-0,2222.093,2215.511,2322.767,373082,224,2228.678,2216.864,2275.137,373242,224
mixed-storage-write-depth-2,2412.411,2401.221,2427.285,402436,253,2417.745,2408.724,2468.26,402896,253
token-balance,51.271,50.42,53.656,13930,14,50.192,49.82,54.231,13980,14
token-transfer,747.779,744.614,754.5,30091,31,753.665,746.517,770.256,30141,31
staking-add-stake,1353.739,1341.596,1359.069,373257,287,1363.634,1348.485,1377.974,373487,287
sha256-bytes-16,36.885,35.497,39.142,8009,9,35.407,35.089,38.17,8119,9
sha256-bytes-256,47.598,46.378,49.603,32114,33,46.729,45.948,48.8,32224,33
sha256-bytes-4096,249.377,244.835,254.277,416114,417,251.424,247.018,273.619,416224,417
sha256-bytes-16384,886.816,875.437,1075.433,1644884,1645,896.197,888.237,987.016,1644994,1645
sha256-bytes-65536,3597.688,3591.76,4982.89,6560134,6561,3667.343,3638.05,3974.133,6560244,6561
native-balances-16,258.398,108.359,265.602,77925,78,114.022,107.601,259.302,77975,78
native-balances-128,612.725,500.462,749.247,548976,549,554.704,503.204,727.397,549026,550
native-balances-512,1934.523,1845.239,2872.646,2188790,2189,2315.867,1851.056,2689.17,2188840,2189
