name,paid,main_us,head_us,latency_change_pct,main_fuel,head_fuel,main_execution_gas,head_execution_gas,gas_change_pct,deposit_fuel,gas_limit,head_budget_used_pct,input_bytes,output_bytes,main_success,head_success,main_min_run_us,main_max_run_us,head_min_run_us,head_max_run_us
scalar-view-depth-0,False,33.6087,33.2462,-1.07859,7339,7479,8,8,0.0,0,1000000,0.000748,9,2,True,True,32.5308,35.480867,31.828267,34.680933
scalar-view-depth-2,False,174.1255,173.127033,-0.573418,36249,37089,37,38,2.702703,0,1000000,0.003709,9,2,True,True,170.263133,182.524333,171.166,182.140733
storage-view-depth-0,False,95.3566,94.476,-0.923481,34835,35235,35,36,2.857143,0,1000000,0.003523,15,12,True,True,94.417733,105.317933,92.989867,98.068
storage-view-depth-2,False,229.2804,226.152667,-1.364152,63945,65285,64,66,3.125,0,1000000,0.006528,15,12,True,True,226.530333,246.852733,224.741267,238.591267
string-output-2k-depth-0,False,57.5382,58.021467,0.839906,30235,30525,31,31,0.0,0,1000000,0.003053,19,2050,True,True,57.081267,72.475667,56.867333,60.820133
string-output-2k-depth-2,False,193.929867,193.243833,-0.353753,99805,101195,100,102,2.0,0,1000000,0.01012,19,2050,True,True,191.677133,217.0054,191.804933,203.949533
string-output-16k-depth-0,False,213.914933,213.742567,-0.080577,184404,184704,185,185,0.0,0,1000000,0.01847,20,16386,True,True,212.860667,325.100733,212.2052,235.727467
string-output-16k-depth-2,False,370.502767,369.2514,-0.337748,540694,542134,541,543,0.369686,0,1000000,0.054213,20,16386,True,True,367.6458,488.186,368.0124,398.957133
string-output-128k-depth-0,False,1463.060533,1460.477767,-0.176532,1417357,1417667,1418,1418,0.0,0,1000000,0.141767,21,131074,True,True,1459.233067,2334.239733,1454.3138,1635.7708
string-output-128k-depth-2,False,1786.9676,1788.7148,0.097775,4067665,4069155,4068,4070,0.049164,0,1000000,0.406915,21,131074,True,True,1782.8808,2670.974,1786.5092,1967.910667
storage-write-depth-0,True,798.746467,793.751933,-0.625296,36356,36706,23,23,0.0,14000,100000,0.036706,25,514,True,True,788.730867,872.342933,788.617267,859.417933
storage-write-depth-2,True,958.2232,950.8149,-0.773129,75232,76922,62,63,1.612903,14000,100000,0.076922,25,514,True,True,949.4526,1043.328133,946.785533,1030.269667
mixed-storage-write-depth-0,True,2227.318467,2229.257067,0.087037,372892,373082,223,224,0.44843,150000,100000,0.373082,19,0,True,True,2219.3224,2475.963467,2225.783733,2430.912933
mixed-storage-write-depth-2,True,2417.699733,2418.0121,0.01292,401146,402436,252,253,0.396825,150000,100000,0.402436,19,0,True,True,2403.449467,2676.6852,2413.073933,2636.448533
token-balance,False,51.057533,50.624133,-0.848846,12950,13930,13,14,7.692308,0,1000000,0.001393,21,64,True,True,50.2476,53.428333,49.950667,53.1618
token-transfer,True,757.355767,750.177967,-0.947745,27491,30091,28,31,10.714286,0,100000,0.030091,82,107,True,True,746.7556,832.8482,746.958333,813.711867
staking-add-stake,True,1360.037667,1357.795667,-0.164848,368397,373257,282,287,1.77305,87000,100000,0.373257,69,71,True,True,1344.559267,1483.310933,1353.126533,1453.368867
sha256-bytes-16,False,36.199067,35.404567,-2.194808,4779,8009,5,9,80.0,0,1000000,0.000801,73,142,True,True,35.4116,39.117267,34.7448,37.103133
sha256-bytes-256,False,53.565967,46.728333,-12.764884,7284,32114,8,33,312.5,0,1000000,0.003211,1033,147,True,True,52.933733,57.011667,45.5756,48.036667
sha256-bytes-4096,False,356.633133,246.882,-30.774239,45684,416114,46,417,806.521739,0,1000000,0.041611,16393,147,True,True,352.815067,357.729067,244.644533,250.7696
sha256-bytes-16384,False,1305.270133,872.847367,-33.128987,168534,1644884,169,1645,873.372781,0,1000000,0.164488,65545,144,True,True,1299.519733,1307.058867,867.062267,1020.7424
sha256-bytes-65536,False,5310.847067,3566.828133,-32.838809,660104,6560134,661,6561,892.586989,0,1000000,0.656013,262153,149,True,True,5282.074133,5344.7412,3551.0976,3708.914533
native-balances-16,False,106.5303,108.0763,1.45123,70575,77925,71,78,9.859155,0,1000000,0.007792,10,1389,True,True,104.7764,286.0032,106.1426,261.8448
native-balances-128,False,488.5889,497.2682,1.776401,491226,548976,492,549,11.585366,0,1000000,0.054898,10,11168,True,True,485.2388,634.9238,496.0054,595.74
native-balances-512,False,2049.2939,1983.7974,-3.196052,1958240,2188790,1959,2189,11.740684,0,1000000,0.218879,10,44960,True,True,1787.1452,2643.5958,1833.6202,2365.6018
